/Vout+ X,/Vout+ Y,/Vout- X,/Vout- Y
0,1.024175015863712,0,1.799999999574593
1,1.0270802719789,1,1.7969101000123
2,1.029987354368616,2,1.793820185189313
3,1.032896046060519,3,1.790730346563914
4,1.03580635487134,4,1.787640554201981
5,1.038718288898763,5,1.784550808141182
6,1.0416318591337,6,1.781461107862073
7,1.044547065555901,7,1.7783714550176
8,1.047497962816093,8,1.77519333189945
9,1.050416810926965,9,1.77210376592035
10,1.053337333607447,10,1.769014241011532
11,1.056259540151645,11,1.765924766741728
12,1.059183446670776,12,1.762835336263809
13,1.062109042810252,13,1.759745954129414
14,1.065036358946819,14,1.756656618426825
15,1.067965396886813,15,1.75356736022217
16,1.070859306808007,16,1.750566667656262
17,1.073791436305019,17,1.747477481733673
18,1.076725312520142,18,1.744388343176439
19,1.079660945168255,19,1.741299252036048
20,1.082598348709937,20,1.738210208506782
21,1.085537524662296,21,1.735121212726758
22,1.088478493260388,22,1.732032264476256
23,1.09142126267555,23,1.72894336425395
24,1.094406011970367,24,1.72576586363927
25,1.097352868498235,25,1.722677058085505
26,1.100301569303683,26,1.719588285862971
27,1.103252126303318,27,1.716499569396103
28,1.106204552567913,28,1.713410901449023
29,1.109158856842688,29,1.710322282036006
30,1.112115054633347,30,1.707233711378501
31,1.115073157045793,31,1.704145189550989
32,1.117989135265152,32,1.701145438025724
33,1.120950554913592,33,1.698057023647863
34,1.123913905796734,34,1.69496865863846
35,1.126879199639236,35,1.691880343085779
36,1.129846449551197,36,1.688792077231149
37,1.132815664265358,37,1.685703861108847
38,1.13578685970893,38,1.682615694967347
39,1.138760043639157,39,1.679527578907728
40,1.141783797439109,40,1.676350716183482
41,1.144761612107366,41,1.673262691133678
42,1.147741462469204,42,1.670174716681593
43,1.150723358985699,43,1.66708679294244
44,1.153707311991036,44,1.663998920189602
45,1.156693331358048,45,1.66091109848468
46,1.1596814459481,46,1.65782332811024
47,1.162671606560548,47,1.654735609196077
48,1.165610071016802,48,1.651736818379723
49,1.168603737696488,49,1.648649213218417
50,1.171599520139215,50,1.645561660255106
51,1.174597365021345,51,1.642474159642888
52,1.177597336836992,52,1.63938671169819
53,1.180599419927679,53,1.636299316519181
54,1.183603637382974,54,1.633211974426759
55,1.186609930963935,55,1.630124685607506
56,1.189678205836594,56,1.626948491148444
57,1.192689469489675,57,1.623861299025074
58,1.1957029501992,58,1.62077416093198
59,1.198718509145242,59,1.617687077071738
