J,fin_MHz,ENOB_bits,SNDR_SINAD_dB,SNR_dB,SFDR_dBc,THD_percent,THD_dB,Signal_Power_dB,DC_Power_dB,Noise_Floor_per_Bin_dB,Noise_Floor_per_rtHz_dB,Total_Harmonic_Power_dB,Peak_Harmonic_Power_dB
31,3.784180,7.0258978,44.061032,46.622843,48.202567,0.44197937,-47.09196,-2.9384296,-69.106467,-79.660029,-130.52188,-50.03039,-51.140997
63,7.690430,6.6266514,41.65733,42.953859,48.206953,0.47302496,-46.502319,-2.9036739,-70.868516,-75.95629,-126.81814,-49.405993,-51.110628
127,15.502930,5.9397007,37.521474,37.967131,48.520716,0.56783222,-44.915599,-2.8475488,-74.276134,-70.913436,-121.77529,-47.763148,-51.368269
255,31.127930,5.1466341,32.746737,32.956581,48.565025,0.8518523,-41.392714,-2.8034536,-82.600825,-65.858791,-116.72064,-44.196168,-51.368488
383,46.752930,4.7885631,30.590935,30.692577,46.679552,1.0009907,-39.991399,-2.7927369,-100.14786,-63.58407,-114.44592,-42.784136,-49.472306
511,62.377930,4.6741848,29.902309,30.156092,45.566925,1.218938,-38.280367,-2.7453734,-85.121969,-63.000221,-113.86207,-41.025741,-48.312323
639,78.002930,4.7785661,30.530747,30.642302,46.341903,1.0167718,-39.85553,-2.6874099,-88.122857,-63.428468,-114.29032,-42.54294,-49.029339
767,93.627930,5.1334761,32.667518,32.83937,48.091446,0.83544173,-41.561677,-2.6769006,-90.471257,-65.615027,-116.47688,-44.238577,-50.768363
895,109.252930,5.8503924,36.983785,37.4781,47.627688,0.61901298,-44.166005,-2.631408,-77.091805,-70.208265,-121.07012,-46.797413,-50.259106
989,120.727539,6.57607,41.352799,43.204938,46.717562,0.54692827,-45.241393,-2.5433077,-72.221285,-75.847002,-126.70886,-47.7847,-49.260882
