/Vout+ X,/Vout+ Y,/Vout- X,/Vout- Y
0,1.799999999553775,0,1.040417082171194
1,1.796997180145864,1,1.043336470786963
2,1.793994334012614,2,1.046256967167519
3,1.790991315671448,3,1.049178577727959
4,1.787987799272539,4,1.052101303396477
5,1.784983977191725,5,1.055025145074752
6,1.781979852631599,6,1.05795010354809
7,1.77897542875008,7,1.06087617954782
8,1.775899653224172,8,1.063860246834353
9,1.772895381964245,9,1.06678896302627
10,1.769890812231173,10,1.069718802862445
11,1.766885947248342,11,1.072649766625197
12,1.763880790323257,12,1.075581854414895
13,1.760875344685554,13,1.078515066229384
14,1.757869613677877,14,1.081449401839946
15,1.754863600590973,15,1.084384860872794
16,1.751922682342291,16,1.08726121496027
17,1.748915445689522,17,1.090198479303804
18,1.745907946225453,18,1.093136860240852
19,1.742900401149353,19,1.096076356550092
20,1.739895620056417,20,1.099016966702198
21,1.736890885604809,21,1.101958688952554
22,1.733886197931123,22,1.104901521191076
23,1.730881557097649,23,1.10784546103994
24,1.727810294309916,24,1.110854368465146
25,1.724805101288266,25,1.11380098751211
26,1.721799954876616,26,1.116748708581114
27,1.7187948549844,27,1.11969752771315
28,1.715790005785875,28,1.122647440469778
29,1.712785341734353,29,1.125598442049688
30,1.709780661990641,30,1.128550527114017
31,1.706775132989959,31,1.131503689902485
32,1.703841914488571,32,1.134390184118133
33,1.700837747718218,33,1.137344984632042
34,1.697833628965023,34,1.140300840031653
35,1.694829558313706,35,1.143257742716974
36,1.691825535932089,36,1.146215684498623
37,1.688821561877081,37,1.149174656737205
38,1.685817636321675,38,1.152134650166015
39,1.6828137593601,39,1.155095655036775
40,1.67972795527557,40,1.158129443111745
41,1.676723003852214,41,1.161092950377035
42,1.673718111203604,42,1.164057436771163
43,1.670713277472807,43,1.16702289004545
44,1.667708502888897,44,1.169989297343429
45,1.664703994324688,45,1.172956645371273
46,1.661700443699774,46,1.175924920223597
47,1.658696942726376,47,1.178894107556291
48,1.655781076675363,48,1.181788334457652
49,1.652777693425418,49,1.184758798988891
50,1.649774360394054,50,1.187730132999695
51,1.646771077712374,51,1.190702320814123
52,1.643767845600103,52,1.193675346302446
53,1.640764664161981,53,1.196649193077072
54,1.637761533625902,54,1.199623844319248
55,1.634758454138768,55,1.202599282979437
56,1.631667695742979,56,1.205655258761307
57,1.628664700504505,57,1.208632683966202
58,1.625661756850738,58,1.211610836426101
59,1.622658864945874,59,1.214589697591886
60,1.619656025045262,60,1.217569248697401
61,1.616653237288511,61,1.220549470979744
62,1.613650501941472,62,1.223530345510418
63,1.610647819188956,63,1.226511853419463
64,1.607733069097438,64,1.229410736607455
65,1.604730511261114,65,1.23239306632972
66,1.60172800682118,66,1.235375985012368
67,1.598725555986753,67,1.238359474635972
68,1.59572315906061,68,1.24134351726535
69,1.59272081623003,69,1.244328095272789
70,1.589718527811474,70,1.247313191153564
71,1.586716294041178,71,1.250298787746643
72,1.583626081351134,72,1.253370855353378
73,1.580623938135335,73,1.25635768490389
74,1.577621850383418,74,1.259344951110997
75,1.574619818362387,75,1.262332638144399
76,1.57161784243568,76,1.265320730556168
77,1.568615922852617,77,1.268309213490225
78,1.56561405999485,78,1.271298072469563
79,1.56261225416568,79,1.274287293598724
80,1.559698698915293,80,1.277189017671675
81,1.556697028496967,81,1.280178752528927
82,1.553695416300896,82,1.283168823353424
83,1.550693862672666,83,1.286159217815552
84,1.547692368057565,84,1.289149923966632
85,1.544690932789377,85,1.292140930434608
86,1.541689557337834,86,1.2951322261902
87,1.538688242097379,87,1.298123800739343
88,1.535598630081555,88,1.301204530807784
89,1.532597415728037,89,1.304196717297429
90,1.529596262912894,90,1.307189145202734
91,1.526595172088357,91,1.310181806289835
92,1.523594143810871,92,1.313174692630846
93,1.520593178529822,93,1.316167796788301
94,1.517592276835495,94,1.31916111156481
95,1.514591439247866,95,1.322154630188095
96,1.511679193459122,96,1.325058992200903
97,1.508678507391132,97,1.32805286842745
98,1.505677887317468,98,1.331046934610086
99,1.502677333836083,99,1.334041184823689
100,1.499676847655175,100,1.337035613348905
101,1.496676429382342,101,1.340030214861263
102,1.493676079772685,102,1.343024984180202
103,1.490675799518105,103,1.346019916459308
104,1.487586888357463,104,1.349104496392686
105,1.484586727116492,105,1.352099743383713
106,1.481586637563777,106,1.355095137666465
107,1.478586620508038,107,1.358090675469666
108,1.475586676877837,108,1.361086353111063
109,1.472586807511684,109,1.364082167193616
110,1.469587013406187,110,1.367078114357122
111,1.466587295506417,111,1.370074191475627
112,1.463676533117652,112,1.372980941722456
113,1.460676992975658,113,1.375977281342696
114,1.457677532242715,114,1.378973743356872
115,1.454678152018419,115,1.381970325057196
116,1.451678853535588,116,1.384967023771909
117,1.44867963795182,117,1.387963837065837
118,1.445680506597596,118,1.390960762492553
119,1.442681460768229,119,1.393957797795889
120,1.439593446903644,120,1.397044275350213
121,1.436594554576973,121,1.400041505678839
122,1.433595752265566,122,1.403038839029254
123,1.430597041523376,123,1.406036273561106
124,1.427598424061054,124,1.409033807422589
125,1.424599901539891,125,1.412031438955261
126,1.421601475820361,126,1.415029166447214
127,1.418603148756675,127,1.418026988338474
128,1.418026987482191,128,1.418603149590302
129,1.41502916558481,129,1.421601476648011
130,1.412031438086759,130,1.424599902361534
131,1.409033806548011,131,1.427598424876662
132,1.406036272680477,132,1.430597042332922
133,1.403038838142599,133,1.433595753069027
134,1.400041504786185,134,1.436594555374322
135,1.397044274451586,135,1.439593447694859
136,1.393957796891538,136,1.442681461553417
137,1.3909607615823,137,1.445680507376605
138,1.387963836149716,138,1.448679638724628
139,1.384967022849952,139,1.451678854302178
140,1.381970324129441,140,1.454678152778771
141,1.378973742423355,141,1.457677532996812
142,1.375977280403456,142,1.460676993723482
143,1.372980940777535,143,1.463676533859187
144,1.370074190524707,144,1.466587296241527
145,1.367078113400584,145,1.469587014134977
146,1.364082166231503,146,1.472586808234141
147,1.361086352143424,147,1.475586677593946
148,1.35809067449655,148,1.478586621217787
149,1.355095136687924,149,1.481586638267151
150,1.352099742399802,150,1.48458672781348
151,1.349104495403462,151,1.487586889048053
152,1.346019915465486,152,1.490675800202408
153,1.343024983181244,153,1.493676080450569
154,1.340030213857241,154,1.496676430053795
155,1.337035612339893,155,1.499676848320187
156,1.334041183809768,156,1.502677334494645
157,1.331046933591338,157,1.505677887969571
158,1.328052867403964,158,1.508678508036766
159,1.32505899117277,159,1.511679194098279
160,1.322154629154179,160,1.514591439880409
161,1.319161110526345,161,1.517592277461543
162,1.316167795745385,162,1.520593179149367
163,1.313174691583585,163,1.523594144423907
164,1.31018180523834,164,1.526595172694875
165,1.30718914414712,165,1.529596263512888
166,1.304196716237816,166,1.5325974163215
167,1.301204529744301,167,1.53559863066848
168,1.298123799674423,168,1.538688242677897
169,1.29513222512186,169,1.541689557911803
170,1.292140929363006,170,1.54469093335679
171,1.289149922891933,171,1.547692368618418
172,1.286159216737926,172,1.550693863226953
173,1.28316882227305,173,1.553695416848612
174,1.280178751445989,174,1.556697029038105
175,1.277189016586366,175,1.559698699449851
176,1.274287292507279,176,1.562612254693507
177,1.271298071375908,177,1.565614060516086
178,1.268309212394567,178,1.568615923367256
179,1.265320729458723,179,1.571617842943718
180,1.262332637045388,180,1.574619818863821
181,1.259344950010651,181,1.577621850878243
182,1.256357683802444,182,1.580623938623546
183,1.253370854251076,183,1.583626081832729
184,1.250298786649727,184,1.586716294516305
185,1.247313190056549,185,1.589718528279978
186,1.24432809417593,186,1.592720816691908
187,1.241343516168905,187,1.595723159515858
188,1.238359473540205,188,1.598725556435368
189,1.235375983917545,189,1.601728007263159
190,1.232393065236106,190,1.604730511696453
191,1.229410735515319,191,1.607733069526135
192,1.226511852321246,192,1.610647819610848
193,1.223530344414026,193,1.613650502356715
194,1.220549469885454,194,1.616653237697103
195,1.217569247605491,195,1.619656025447199
196,1.214589696502633,196,1.622658865341154
197,1.211610835339778,197,1.625661757239359
198,1.20863268288308,198,1.628664700886465
199,1.205655257681654,199,1.631667696118275
200,1.202599281912576,200,1.634758454507564
201,1.199623843256483,201,1.637761533988031
202,1.196649192018645,202,1.640764664517439
203,1.193675345248593,203,1.643767845948889
204,1.190702319765077,204,1.646771078054487
205,1.187730131955679,205,1.649774360729491
206,1.184758797950124,206,1.652777693754177
207,1.181788333424344,207,1.655781076997443
208,1.178894106519004,208,1.658696943041603
209,1.175924919192135,209,1.661700444008317
210,1.172956644345831,210,1.664703994626544
211,1.169989296324192,211,1.667708503166706
212,1.167022889032595,212,1.67071327774389
213,1.164057435764857,213,1.673718111467959
214,1.161092949377436,214,1.676723004109839
215,1.158129442119003,215,1.679727955526464
